2018-02-17 11:26:26 - Inline not found
2018-02-17 13:42:30 - Inline not found
2018-02-17 19:14:11 - AAPL ~ Trade recomendations : date :02/17/2018, status: Ready, - No Recom
2018-02-17 19:16:25 - INTC ~ Trade recomendations : date :02/17/2018, status: Ready, - No Recom
2018-02-17 19:17:46 - INTC ~ Trade recomendations : date :02/17/2018, status: Ready, - No Recom
2018-02-17 19:22:08 - INTC ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 4 , status: Ready, - No Recom
2018-02-17 19:23:01 - INTC ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 17 , matchedTrades: 1, status: Ready, - No Recom
2018-02-17 19:50:01 - INTC ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 11 , matchedTrades: 1, status: cant make a recom, because too few matched trades, - No Recom
2018-02-17 20:22:00 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 8 , matchedTrades: 28, status: Ready, - BUY, 224.47, 225.07, 225.41, 225.67, 28, 0.27999999999999997, 75.0, 25.0, true
2018-02-17 20:29:06 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 8 , matchedTrades: 28, status: Ready, - BUY, 224.47, 225.07, 225.41, 225.67, 28, 0.27999999999999997, 75.0, 25.0, true
2018-02-17 20:31:19 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 8 ,gap:0.65, matchedTrades: 28, status: Ready, - BUY, 224.47, 225.07, 225.41, 225.67, 28, 0.27999999999999997, 75.0, 25.0, true
2018-02-17 20:32:25 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 8 ,gap:-0.65, matchedTrades: 16, status: Ready, - null, 227.17, 226.34, 226.6, 226.82, 16, 0.27999999999999997, 37.5, 62.5, false
2018-02-17 20:37:34 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 9 ,gap:-0.65, matchedTrades: 16, status: Ready, - null, 227.17, 226.34, 226.6, 226.82, 16, 0.27999999999999997, 37.5, 62.5, false
2018-02-17 20:40:31 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 8 ,gap:-0.65, matchedTrades: 16, status: Ready, - BUY, 225.21, 225.22, 225.22, 225.22, 16, 0.27999999999999997, 37.5, 87.5, true
2018-02-17 20:43:59 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 18 ,gap:-0.65, matchedTrades: 16, status: Ready, - BUY, 225.21, 222.57, 222.57, 222.57, 16, 0.27999999999999997, 37.5, 87.5, true
2018-02-17 20:46:02 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 8 ,gap:-0.65, matchedTrades: 16, status: Ready, - BUY, 225.21, 225.16, 224.67, 225.22, 16, 0.27999999999999997, 37.5, 87.5, true
2018-02-17 20:51:47 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 55 ,gap:-0.65, matchedTrades: 16, status: Ready, - BUY, 222.56, 223.87, 224.12, 224.78, 16, 0.27999999999999997, 37.5, 87.5, true
2018-02-17 20:53:51 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 8 ,gap:-0.65, matchedTrades: 16, status: Ready, - BUY, 225.05, 225.09, 225.09, 225.09, 16, 0.27999999999999997, 37.5, 87.5, true
2018-02-17 21:05:39 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 8 ,gap:-0.65, matchedTrades: 16, status: Ready, - BUY, 221.67000000000002, 223.56, 223.93, 224.18, 16, 0.27999999999999997, 37.5, 87.5, true
2018-02-17 22:19:26 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 8 ,gap:-0.65, matchedTrades: 16, status: Ready, - BUY, 223.18, 225.09, 225.47, 225.72, 16, 0.27999999999999997, 37.5, 87.5, true
2018-02-17 22:30:07 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 8 ,gap:-0.65, matchedTrades: 23, status: Ready, - SELL, 227.78, 226.35, 226.47, 226.66, 23, 0.27999999999999997, 73.91, 26.09, true
2018-02-17 22:31:44 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 4 ,gap:-0.5, matchedTrades: 13, status: Ready, - SELL, 227.53, 226.17, 226.37, 226.44, 13, 0.27999999999999997, 76.92, 23.08, true
2018-02-17 22:33:14 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 8 ,gap:-0.65, matchedTrades: 16, status: Ready, - BUY, 223.18, 225.09, 225.47, 225.72, 16, 0.27999999999999997, 37.5, 87.5, true
2018-02-17 22:59:39 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 83 ,gap:-0.65, matchedTrades: 16, status: Ready, - null, 223.18, 225.47, 225.66, 225.82, 16, 0.27999999999999997, 37.5, 62.5, false
2018-02-17 23:03:26 - NVDA ~ Trade recomendations : date :02/17/2018, Time-Taken(Sec): 8 ,gap:-0.65, matchedTrades: 16, status: Ready, - null, 225.28, 225.47, 225.66, 225.82, 16, 0.27999999999999997, 37.5, 62.5, false
